NCT Number,Title,Status,Gender,Phases,Enrollment,Locations,URL
NCT03738774,Addressing Post-Intensive Care Syndrome Among Survivors of COVID (APICS-COVID),Recruiting,All,,200,"Johns Hopkins Hospital, Baltimore, Maryland, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Vanderbilt University, Nashville, Tennessee, United States|Intermountain Medical Center, Murray, Utah, United States|George Wahlen Salt Lake City Veterans Administration Hospital, Salt Lake City, Utah, United States",https://ClinicalTrials.gov/show/NCT03738774
NCT03808922,Phase III DAS181 Lower Tract PIV Infection in Immunocompromised Subjects (Substudy: DAS181 for COVID-19): RCT Study,Recruiting,All,Phase 3,274,"City of Hope cancer Center, Duarte, California, United States|UCLA, Los Angeles, California, United States|University of California Davis Health System, Sacramento, California, United States|University of California San Diego Medical Center, San Diego, California, United States|Children's Hospital Colorado, Aurora, Colorado, United States|Ann & Robert H. Lurie Children's Hospital of Chicago, Chicago, Illinois, United States|University of Chicago, Chicago, Illinois, United States|Loyola University Medical Center, Maywood, Illinois, United States|University of Kansas Medical Center, Fairway, Kansas, United States|Louisiana State University, Shreveport, Louisiana, United States|University of Maryland, Baltimore, Maryland, United States|The Johns Hopkins Hospital, Baltimore, Maryland, United States|Brigham and Women's Hospital, Boston, Massachusetts, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Universtiy of Michigan, Ann Arbor, Michigan, United States|Washington University, Saint Louis, Missouri, United States|University of Nebraska Medical Center, Omaha, Nebraska, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|Weill Cornell Medical College, New York, New York, United States|Duke University, Durham, North Carolina, United States|Novant Health, Winston-Salem, North Carolina, United States|The Lindner Center- The Christ Hospital, Cincinnati, Ohio, United States|Cincinnati Children's Hospital Medical Center, Cincinnati, Ohio, United States|University of Cincinnati, Cincinnati, Ohio, United States|The Cleveland Clinic Foundation, Cleveland, Ohio, United States|St. Elizabeth Youngstown Hospital, Youngstown, Ohio, United States|Oregon Health & Science University, Portland, Oregon, United States|University of Pennsylvania, Philadelphia, Pennsylvania, United States|University of Pittsburgh Medical Center Health System, Pittsburgh, Pennsylvania, United States|Kent Hospital, Warwick, Rhode Island, United States|Vanderbilt University Medical Center, Nashville, Tennessee, United States|Cook Children's, Fort Worth, Texas, United States|Texas Health, Fort Worth, Texas, United States|Therapeutic Concepts, Houston, Texas, United States|MD Anderson, Houston, Texas, United States|VCU Health System, Richmond, Virginia, United States|Seattle Children's Hospital, Seattle, Washington, United States|Fred Hutchinson Cancer Research Center, Seattle, Washington, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, United States|Froedtert Medical College Pulmonary Clinic, Milwaukee, Wisconsin, United States|Westmead Hospital, Sydney, New South Wales, Australia|The Wesley Hospital, Auchenflower, Queensland, Australia|Peter MacCallum Cancer Centre, Melbourne, Victoria, Australia|Royal Melbourne Hospital, Melbourne, Victoria, Australia|Shanghai Pulmonary Hospital, Yangpu, Shanghai, China|West China Hospital, Chengdu, Sichuan, China|Shulan (Hangzhou) Hospital co., LTD, Hangzhou, Zhejiang, China|The First Affiliated Hospital, Zhejiang University School of Medicine, Hangzhou, Zhejiang, China|Rigshospitalet, Copenhagen, Denmark|Hôpital Henri Mondor, Créteil, Ile-de-France, France|Prince of Wales Hospital, Sha Tin, New Territories, Hong Kong|Samsung Medical Center, Gangnam-gu, Seoul, Gyeonggi-do, Korea, Republic of|Seoul National University Hospital, Jongno-gu, Seoul, Gyeonggi-do, Korea, Republic of|The Catholic University of Korea, Seoul St. Mary's Hospital, Seocho-gu, Seoul, Gyeonggi-do, Korea, Republic of|Seoul National University Bundang Hospital, Seongnam-si, Gyeonggi-do, Korea, Republic of|Asan Medical Center, Songpa-gu, Seoul, Gyeonggi-do, Korea, Republic of|National Cheng Kung University Hospital, North District, Tainan, Taiwan|National Taiwan University Hospital, Zhongzheng, Taipei City, Taiwan",https://ClinicalTrials.gov/show/NCT03808922
NCT03852537,Steroid Dosing by bioMARker Guided Titration in Critically Ill Patients With Pneumonia,Completed,All,Phase 1,44,"Mayo Clinic in Rochester, Rochester, Minnesota, United States",https://ClinicalTrials.gov/show/NCT03852537
NCT03907891,Reducing Hopelessness Through Improved Physical Activity in Adults With Heart Disease: With COVID-19 Considerations,Recruiting,All,Not Applicable,225,"Spectrum Health, Grand Rapids, Michigan, United States",https://ClinicalTrials.gov/show/NCT03907891
NCT03944447,Outcomes Mandate National Integration With Cannabis as Medicine for Prevention and Treatment of COVID-19,Recruiting,All,Phase 2,200000,"OMNI Medical Services, Boca Raton, Florida, United States|OMNI Medical Services, Bradenton, Florida, United States|OMNI Medical Services, Fort Lauderdale, Florida, United States|OMNI Medical Services, Fort Myers, Florida, United States|OMNI Medical Services, Gainesville, Florida, United States|OMNI Medical Services, Merritt Island, Florida, United States|OMNI Medical Services, Miami, Florida, United States|OMNI Medical Services, Ocoee, Florida, United States|OMNI Medical Services, Pensacola, Florida, United States|OMNI Medical Services, Pompano Beach, Florida, United States|OMNI Medical Services, Tampa, Florida, United States|OMNI Medical Services, Wesley Chapel, Florida, United States|OMNI Medical Services, Beechwood, Ohio, United States|OMNI Medical Services, Bowling Green, Ohio, United States|OMNI Medical Services, Sandusky, Ohio, United States|OMNI Medical Services, Toledo, Ohio, United States|OMNI Medical Services, Toledo, Ohio, United States",https://ClinicalTrials.gov/show/NCT03944447
NCT04025580,Systems Analyses of the Immune Response to the Seasonal Influenza Vaccine,Recruiting,All,Phase 2,300,"National Institutes of Health Clinical Center, Bethesda, Maryland, United States",https://ClinicalTrials.gov/show/NCT04025580
NCT04148430,A Study of Anakinra to Prevent or Treat Severe Side Effects for Patients Receiving CAR-T Cell Therapy,Recruiting,All,Phase 2,90,"Memorial Sloan Kettering Cancer Center, New York, New York, United States",https://ClinicalTrials.gov/show/NCT04148430
NCT04160975,Persuasion in Medicine: Experimental Evidence on Sender and Signal Effects,Completed,Male,Not Applicable,2902,"Harvard University, Cambridge, Massachusetts, United States",https://ClinicalTrials.gov/show/NCT04160975
NCT04169542,"Impact of COVID-19 Pandemic on Out-of-Pocket Costs, Lost Wages, and Unemployment in Patients With Breast Cancer Undergoing Breast Surgery",Recruiting,Female,,600,"MD Anderson in The Woodlands, Conroe, Texas, United States|M D Anderson Cancer Center, Houston, Texas, United States|MD Anderson League City, League City, Texas, United States|MD Anderson in Sugar Land, Sugar Land, Texas, United States",https://ClinicalTrials.gov/show/NCT04169542
NCT04240886,Open-label Study of APX001 for Treatment of Patients With Invasive Mold Infections Caused by Aspergillus or Rare Molds,Recruiting,All,Phase 2,50,"Clinical Trial Site, Duarte, California, United States|Clinical Trial Site, Sacramento, California, United States|Clinical Trial Site, San Diego, California, United States|Clinical Trial Site, Boston, Massachusetts, United States|Clinical Trial Site, Durham, North Carolina, United States|Clinical Trial Site, Brussels, Belgium|Clinical Trial Site, Brussels, Belgium|Clinical Trial Site, Leuven, Belgium|Clinical Trial Site, Yvoir, Belgium|Clinical Trial Site, Koeln, Germany|Clinical Trial Site, Mainz, Germany|Clinical Trial Site, Haifa, Israel|Clinical Trial Site, Tel Aviv, Israel|Clinical Trial Site, Tel HaShomer, Israel",https://ClinicalTrials.gov/show/NCT04240886
NCT04247620,DiaBetter Together for Young Adults With Type 1 Diabetes,Enrolling by invitation,All,Not Applicable,186,"Baylor College of Medicine, Houston, Texas, United States",https://ClinicalTrials.gov/show/NCT04247620
NCT04278404,"Pharmacokinetics, Pharmacodynamics, and Safety Profile of Understudied Drugs Administered to Children Per Standard of Care (POPS)",Recruiting,All,,5000,"Phoenix Children's Hospital, Phoenix, Arizona, United States|Arkansas Children's Hospital Research Institute, Little Rock, Arkansas, United States|University of California, Los Angeles, California, United States|Colorado University Denver, Aurora, Colorado, United States|Alfred I. DuPont Hospital for Children, Wilmington, Delaware, United States|University of Florida Jacksonville Shands Medical Center, Jacksonville, Florida, United States|Kapiolani Womens and Childrens Medical Center, Honolulu, Hawaii, United States|Ann and Robert H. Lurie Childrens Hospital of Chicago, Chicago, Illinois, United States|Riley Hospital for Children at Indiana University, Indianapolis, Indiana, United States|University of Iowa Stead Family Children's Hospital, Iowa City, Iowa, United States|University of Kansas Medical Center, Kansas City, Kansas, United States|Wesley Medical Center, Wichita, Kansas, United States|University of Louisville Norton Childrens Hospital, Louisville, Kentucky, United States|Tulane University Health Science Center, New Orleans, Louisiana, United States|Ochsner Baptist Clinical Trials Unit, New Orleans, Louisiana, United States|Boston Children's Hospital, Boston, Massachusetts, United States|Massachusetts General Hospital, Lexington, Massachusetts, United States|University of Minnesota, Minneapolis, Minnesota, United States|University of Mississippi Medical Center, Jackson, Mississippi, United States|Mississippi Center for Advanced Medicine, Madison, Mississippi, United States|Children's Mercy Hospital, Kansas City, Missouri, United States|Childrens Mercy Hospital, Kansas City, Missouri, United States|University of Nebraska Medical Center, Omaha, Nebraska, United States|Dartmouth-Hitchcock Medical Center, Lebanon, New Hampshire, United States|University of New Mexico Health Science Center, Albuquerque, New Mexico, United States|Kravis Children's Hospital at Mt. Sinai, New York, New York, United States|University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, United States|Duke University Health System, Durham, North Carolina, United States|East Carolina University, Greenville, North Carolina, United States|New Hanover Regional Medical Center, Wilmington, North Carolina, United States|Cincinnati Childrens Hospital Medical Center, Cincinnati, Ohio, United States|Board of Regents of the University of Oklahoma, Oklahoma City, Oklahoma, United States|Oregon Health and Science University, Portland, Oregon, United States|Pennsylvania State University--Hershey Children's Hospital, Hershey, Pennsylvania, United States|Rhode Island Hospital, Providence, Rhode Island, United States|Medical University of South Carolina Children's Hospital, Charleston, South Carolina, United States|University of South Carolina, Columbia, South Carolina, United States|Monroe Carell Jr. Children's Hospital at Vanderbilt, Nashville, Tennessee, United States|Dell Children's Medical Center of Central Texas, Austin, Texas, United States|University of Texas-Southwestern Medical Center, Dallas, Texas, United States|University of Texas--Memorial Hermann Texas Medical Center, Houston, Texas, United States|Seattle Children's Hospital, Seattle, Washington, United States|University of Wisconsin, Madison, Wisconsin, United States|University of Wisconsin, Madison, Wisconsin, United States|University Wisconsin, Madison, Wisconsin, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, United States|Children's Hospital of Eastern Ontario, Ottawa, Ontario, Canada|The Hospital for Sick Children, Toronto, Ontario, Canada|CHU Sainte-Justine, Montréal, Quebec, Canada",https://ClinicalTrials.gov/show/NCT04278404
NCT04280705,Adaptive COVID-19 Treatment Trial (ACTT),Completed,All,Phase 3,1062,"University of Alabama at Birmingham School of Medicine - Infectious Disease, Birmingham, Alabama, United States|University of California San Diego Health - Jacobs Medical Center, La Jolla, California, United States|University of California Los Angeles Medical Center - Westwood Clinic, Los Angeles, California, United States|University of California Irvine Medical Center - Infectious Disease, Orange, California, United States|VA Palo Alto Health Care System - Infectious Diseases, Palo Alto, California, United States|Stanford University - Stanford Hospital and Clinics - Pediatrics - Infectious Diseases, Palo Alto, California, United States|University of California Davis Medical Center - Internal Medicine - Infectious Disease, Sacramento, California, United States|Naval Medical Center San Diego - Infectious Disease Clinic, San Diego, California, United States|University of California San Francisco - Zuckerberg San Francisco General Hospital - Division of Human Immunodeficiency Virus, Infectious Disease, and Global Medicine, San Francisco, California, United States|Cedars Sinai Medical Center, West Hollywood, California, United States|Denver Health Division of Hospital Medicine - Main Campus, Denver, Colorado, United States|Emory Vaccine Center - The Hope Clinic, Decatur, Georgia, United States|Northwestern Hospital - Infectious Disease, Chicago, Illinois, United States|University of Illinois at Chicago College of Medicine - Division of Infectious Diseases, Chicago, Illinois, United States|Southeast Louisiana Veterans Health Care System (SLVHCS) - Section of Infectious Diseases, New Orleans, Louisiana, United States|University of Maryland School of Medicine - Center for Vaccine Development - Baltimore, Annapolis, Maryland, United States|Johns Hopkins Hospital - Medicine - Infectious Diseases, Baltimore, Maryland, United States|Walter Reed National Military Medical Center, Bethesda, Maryland, United States|National Institutes of Health - Clinical Center, National Institute of Allergy and Infectious Diseases Laboratory Of Immunoregulation, Clinical Research Section, Bethesda, Maryland, United States|Massachusetts General Hospital - Infectious Diseases, Boston, Massachusetts, United States|University of Massachusetts Medical School - Infectious Diseases and Immunology, Worcester, Massachusetts, United States|University of Minnesota Medical Center, Fairview - Infectious Diseases and International Medicine, Minneapolis, Minnesota, United States|Saint Louis University - Center for Vaccine Development, Saint Louis, Missouri, United States|University of Nebraska Medical Center - Infectious Diseases, Omaha, Nebraska, United States|Montefiore Medical Center - Infectious Diseases, Bronx, New York, United States|New York University School of Medicine - Langone Medical Center - Microbiology - Parasitology, New York, New York, United States|University of Rochester Medical Center - Vaccine Research Unit, Rochester, New York, United States|Duke Human Vaccine Institute - Duke Vaccine and Trials Unit, Durham, North Carolina, United States|Penn State Health Milton S. Hershey Medical Center - Division of Infectious Diseases, Hershey, Pennsylvania, United States|Hospital of the University of Pennsylvania - Infectious Diseases, Philadelphia, Pennsylvania, United States|Vanderbilt University Medical Center - Infectious Diseases, Nashville, Tennessee, United States|Brooke Army Medical Center, Fort Sam Houston, Texas, United States|University of Texas Medical Branch - Division of Infectious Disease, Galveston, Texas, United States|Baylor College of Medicine - Molecular Virology and Microbiology, Houston, Texas, United States|University of Texas Health Science Center at San Antonio - Infectious Diseases, San Antonio, Texas, United States|University of Virginia - Acute Care Surgery, Charlottesville, Virginia, United States|Naval Medical Center Portsmouth - Infectious Disease Division, Portsmouth, Virginia, United States|EvergreenHealth Infectious Disease Service, Kirkland, Washington, United States|The University of Washington - Virology Research Clinic, Seattle, Washington, United States|Providence Sacred Heart Medical Center, Spokane, Washington, United States|Madigan Army Medical Center - Infectious Disease Clinic, Tacoma, Washington, United States|University of Copenhagen - Centre of Excellence for Health, Immunity and Infections (CHIP) - Department of Infectious Diseases, Copenhagen, Denmark|Universitatsklinikum Bonn, Medizinische Klinik I - Bereich Infektiologie/HIV der Medizinischen Klinik, Bonn, Nordrhein-Westfalen, Germany|Universitatsklinikum Koeln Klinik I fur Innere Medizin Klinisches Studienzentrum fur Infektiologie I, Cologne, Germany|Universitätsklinikum Frankfurt -Medizinische Klinik II - Infektiologie, Frankfurt, Germany|AHEPA University Hospital - 1st Department of Internal Medicine, Thessaloniki, Central Macedonia, Greece|Medical School of Athens University - Evangelismos Hospital - Department of Critical Care and Pulmonary Services, Athens, Greece|National Center for Global Health and Medicine Hospital - Disease Control and Prevention Center, Tokyo, Japan|Seoul National University Bundang Hospital - Division of Infectious Diseases, Bundang-gu Seongnam-si, Gyeonggi-do, Korea, Republic of|Seoul National University Hospital, Seoul, Jongno-gu, Korea, Republic of|Instituto Nacional de Ciencias Medicas y Nutrición Salvador Zubirán - Departamento de Infectologia, Mexico City, Mexico|Instituto Nacional de Enfermedades Respiratorias (INER) - Ismael Cosío Villegas, Mexico City, Mexico|National Centre for Infectious Diseases (NCID), Singapore, Singapore|Hospital Clinic Barcelona, Servicio de Salud Internacional, Barcelona, Cataluña, Spain|Hospital Germans Trias i Pujol - Servei Malalties Infeccioses, Barcelona, Cataluña, Spain|Royal Sussex County Hospital - Department of Intensive Care Medicine, East Sussex, Brighton, United Kingdom|Saint Thomas' Hospital - Directorate of Infection, London, London, City Of, United Kingdom|Royal Victoria Infirmary - Department of Infectious Diseases, Level 6, Ward 19, Newcastle Upon Tyne, United Kingdom|St. James's University Hospital - Infectious Diseases, Leeds, West Yorkshire, United Kingdom|John Radcliffe Hospital, Headington, Oxford, United Kingdom",https://ClinicalTrials.gov/show/NCT04280705
NCT04283461,Safety and Immunogenicity Study of 2019-nCoV Vaccine (mRNA-1273) for Prophylaxis of SARS-CoV-2 Infection (COVID-19),"Active, not recruiting",All,Phase 1,120,"Emory Vaccine Center - The Hope Clinic, Decatur, Georgia, United States|National Institutes of Health - Clinical Center - Vaccine Research Center Clinical Trials Program, Bethesda, Maryland, United States|Kaiser Permanente Washington Health Research Institute - Vaccines and Infectious Diseases, Seattle, Washington, United States",https://ClinicalTrials.gov/show/NCT04283461
